TrackObjects_Label_1,DAPI,NANOG,GATA4,GATA3,BF,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,NANOG_Cor,GATA4_Cor,GATA3_Cor,BF_Cor,Treatment,batch
96,13.982164475,15.330721325000003,5.8337613,2.59031725,35.615904975,387.65830305,313.795375675,70.5,4,1912,500FGF_2_241223,TE,3.560631507483663,3.376105480648234,2.128728311915797,2.020446606590806,3.6041181090730596,500ng/ml FGF,Batch 2
98,85.86966681666667,17.967569675,6.375305158333333,26.887384766666667,43.370152266666665,109.490154925,132.28497885,75.5,12,2982,500FGF_2_241223,TE,5.441123386669469,3.5806468658454045,2.2433868737129314,4.436077766076267,3.8033182576997198,500ng/ml FGF,Batch 2
101,60.884146324999996,17.0170880375,6.297154750000001,19.0017360375,34.5140799625,73.71445304125,213.80457380000001,74.5,8,2089,500FGF_2_241223,TE,5.084176083076172,3.517130218555419,2.225875011848265,4.073794607176673,3.5744704384614656,500ng/ml FGF,Batch 2
102,59.56615706,15.364714399999999,5.79735787,14.79611975,46.80168996,236.33801346,70.781815637,76.5,10,2455,500FGF_2_241223,TE,5.088470789229665,3.433319496040496,2.1535367566874877,3.8539464028021584,3.8799102302448287,500ng/ml FGF,Batch 2
104,48.75738645,21.3415543,6.692167525,33.792867625,45.319027325,198.267307425,441.286336075,75.5,4,1062,500FGF_2_241223,TE,4.87515033138635,3.7527336160461524,2.2918919896031023,4.664669560450632,3.847273663379754,500ng/ml FGF,Batch 2
111,65.15306301875,13.09946575625,5.5100821,17.21425503125,35.1518152625,188.62515505,73.12691546625,84.5,16,4014,500FGF_2_241223,TE,5.2828420217322325,3.347150683950076,2.1441389295297095,4.126581018849702,3.5972222684123083,500ng/ml FGF,Batch 2
113,46.70592875714286,13.0790881,5.631179785714285,20.4652231,40.86307058571428,145.84460375714286,100.01797040571428,80,7,1645,500FGF_2_241223,TE,4.891069625324127,3.3043444996171925,2.1425769758959192,4.231359010906134,3.7457730060150416,500ng/ml FGF,Batch 2
114,54.55912886363636,12.595880254545456,5.333740527272727,11.88995400909091,32.76258751818182,288.95193107272723,70.93240701,82,11,2323,500FGF_2_241223,TE,5.072663162582146,3.2850330187049566,2.098667778192427,3.7186450440732584,3.52572271109151,500ng/ml FGF,Batch 2
115,49.379565462500004,14.206212099999998,5.944204,16.299109825,39.8013951375,233.9227549125,418.48408925,82.5,8,1600,500FGF_2_241223,TE,4.979459969349547,3.409924926910354,2.2096187019232336,4.041638340085704,3.7205590456462754,500ng/ml FGF,Batch 2
116,51.561825852631586,14.173669073684211,5.2883240473684205,24.505484105263157,39.29223405263158,382.2916712,124.24877464210526,88,19,4780,500FGF_2_241223,TE,5.094699539946917,3.458047458125997,2.121184558426941,4.53279083871542,3.7101276432195665,500ng/ml FGF,Batch 2
117,35.17094813333333,17.375287083333333,6.351402816666667,12.837957616666667,44.69509903333333,71.676416675,204.34961145,82.5,6,2310,500FGF_2_241223,TE,4.640144508168781,3.6112932163659086,2.275876700750897,3.8029357212998134,3.836520659467927,500ng/ml FGF,Batch 2
120,23.512302433333335,11.776809358333333,5.404840091666667,8.792462908333333,24.6647532375,212.62239421666666,411.0261971625,94.5,24,5712,500FGF_2_241223,TE,4.394528761296055,3.3323776614237355,2.176634655587762,3.6063220175277326,3.247365425724619,500ng/ml FGF,Batch 2
121,49.08409498823529,14.539108405882354,5.390885729411765,13.908577976470587,32.93950270588235,396.22089119411766,386.8623139529412,91,17,4561,500FGF_2_241223,TE,5.084722963549083,3.5110030617566834,2.155926527100993,4.011876301401903,3.5351067625514707,500ng/ml FGF,Batch 2
