TrackObjects_Label_1,DAPI,SOX2,pERK,BF,OTX2,Cyto_pERK,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,SOX2_Cor,pERK_Cor,BF_Cor,OTX2_Cor,Cyto_pERK_Cor
9,16.782194441789166,0.7112533799449603,2.584907584716429,16.68355702740815,6.141569067143254,3.326153814763174,313.63216803752994,323.7871391585097,11.5,9,10409,Emb1_211021,TE,3.0382271086147306,-0.2699820411526697,1.1189755722772852,2.8152368696667107,1.9301890678186657,1.386812789088589
12,25.618306003315233,1.52748338709909,4.625873937819056,15.775303661670325,5.740149927818593,4.578500173921091,209.14679987088044,233.6058537317327,11,12,3713,Emb1_211021,TE,3.4517397282949376,0.4912211790774786,1.6935754892622354,2.759224149466205,1.8575912554384213,1.6983174071400111
13,18.073170147025053,1.3356824104137472,3.0507194618557554,16.38544283340132,6.285149045589322,4.033632684638351,294.3892223458376,179.76323541309634,13.5,13,4829,Emb1_211021,TE,3.1502328578147956,0.3724000501277826,1.314091644257742,2.7973470534156455,1.973314085959331,1.6118262878691825
14,29.991572054834254,0.9451707247101345,3.525979049542755,15.898893302307613,2.929583310171469,3.486518388322331,255.94289442368895,292.0934721355385,12,14,2034,Emb1_211021,TE,3.6282964547529555,0.01738973731115398,1.4367922038395229,2.7670981412697158,1.19499088241949,1.4419404265253566
15,34.84165357566008,1.0281768170110945,5.7572591066425,17.199061636790887,2.8829544941804452,5.644549174546222,238.20864523302237,280.6623513019308,13,15,1875,Emb1_211021,TE,3.797141251920226,0.10769752740626586,1.9418017239687593,2.845773184650029,1.1889549167512579,1.9398001594866565
16,26.355883195731565,1.039825513446252,3.0458894387222832,16.82890735501691,4.222862409503946,3.6685027201645113,274.0111327295902,330.6841737939533,17,16,4639,Emb1_211021,TE,3.593812321014107,0.1435200911600197,1.3640171970590844,2.824297352630054,1.610673654411657,1.5732390055898002
17,31.588413113774948,1.876482744380736,3.96547406422868,16.981424441374298,4.732802997384581,4.2589292061174815,204.4149749865655,200.8436039604232,17.5,17,4264,Emb1_211021,TE,3.784384580575402,0.7368931712996434,1.635200608245788,2.8333543802009777,1.7296795585698557,1.7305113989438852
18,23.78935256197085,0.8790982004503385,2.9124057522020914,16.342759773448034,5.826964656065307,4.918111889400275,342.8407386868545,184.69108187210696,20.5,18,5714,Emb1_211021,TE,3.5576775253594883,-0.0028857729166539003,1.370715199894517,2.7952301026488473,1.9676783244771523,1.92266720365514
19,15.608723906360966,0.7132430622635598,2.1235130932466424,16.526156286738356,5.9799484200408095,2.9342854739717823,362.9827068153753,301.76135121781294,19,19,5153,Emb1_211021,TE,3.1078495132182242,-0.2211428773400157,1.0327446206637583,2.8062841245010626,1.9785815365481585,1.382094216234984
20,24.19511551530923,0.8323467264830375,2.411705723149204,16.73119335650931,6.475857407538631,3.9219241138743746,376.5592670039351,260.00913949912155,21,20,5763,Emb1_211021,TE,3.5840641497881482,-0.054457166245471644,1.1894357065405763,2.8187549292766723,2.0782654221944474,1.704372056741446
21,30.606802512858604,0.977897819677108,3.1388659894771576,16.69040942199743,4.588311775105094,4.023177962997629,293.5805034241638,359.10582016999047,20.5,21,4535,Emb1_211021,TE,3.809660768412214,0.10361131146287889,1.4455948489734745,2.816279271591908,1.7286988861324588,1.721819160366771
22,34.43494875256509,1.1122688502501055,4.308202086602497,16.94094619315233,5.9935273136342575,5.988578400818169,248.97768199318423,149.6066422525674,22.5,22,4597,Emb1_211021,TE,3.96540623565684,0.24462993191716553,1.791679568585768,2.8313188492530794,2.01587782257405,2.1517609470562786
23,30.23893678772295,1.565300413387435,6.093266468870541,16.519592122621013,5.525957535737032,5.465543392981075,211.55449294884443,166.03767393766387,21,23,3027,Emb1_211021,TE,3.807042940697068,0.5770705316086189,2.1162606922192344,2.8060272409183735,1.91964360164184,2.03624602505466
24,38.691653283543594,2.313145922831963,6.644794538938985,16.77346918605354,3.074707528702139,6.175254094213818,195.46285457863837,237.35162635295657,20.5,24,2664,Emb1_211021,TE,4.044061696455463,0.9645108493990823,2.1955502272998513,2.821243396592678,1.3284072474413546,2.1502884003864664
25,25.289402702592355,0.9366243786428302,4.323984035951765,16.219322919942936,2.8287324104124534,5.2831517833810375,256.95558077613583,311.72316617522966,25,25,4635,Emb1_211021,TE,3.7040908754433035,0.0881205750153505,1.8321288782615608,2.7879643621862664,1.290065197566872,2.066641991243076
26,23.829943237422572,1.5532213316718926,3.3134502571662208,16.606216498964162,3.6140946697701994,4.352908842019651,244.68081599762766,342.9293501011631,26.5,26,9509,Emb1_211021,TE,3.673070672996455,0.603091407156154,1.5880244563631103,2.811643320951832,1.550082271861494,1.8970935217464087
27,32.829259368615126,2.2125255504660024,7.2420602244276875,13.95918891109233,3.4178099559878263,7.4744080396141666,184.93913436338238,204.45113549109723,24.5,27,2542,Emb1_211021,TE,3.955550666902263,0.9445968749292171,2.3404895084567867,2.6378649530211877,1.4742263642150981,2.4055565137411064
29,22.121602663664834,1.5985722762956664,5.260346121537256,15.596528910138419,2.994728026542514,5.436355010954344,209.89528749991985,264.7956754126638,31.5,29,7896,Emb1_211021,TE,3.6934230108631594,0.6625667851465797,2.1238058024501005,2.749265959866181,1.412140254789548,2.1997734669888622
31,21.89131460310239,1.132180619028649,4.183913854520385,15.94435751482139,4.386037234741233,4.772762133249291,238.08054194867157,229.22302260619273,33,31,13813,Emb1_211021,TE,3.711380484655448,0.32683637952302885,1.91693671601762,2.771427735620681,1.8087144526459926,2.093718436728902
32,45.983122094028836,1.6104279616072117,7.9205871141706,16.85971075932679,3.10415773783126,6.36292534967982,188.7485645495548,184.27161856827706,27,32,1839,Emb1_211021,TE,4.339874189921132,0.6423277611729196,2.4668407863170576,2.826828012100044,1.4029918715891347,2.2847721803937864
34,42.10252095527019,1.160365228021264,3.1408736579440606,15.357016170400081,3.5705248561284124,6.209648446966391,351.5648833207723,357.4944078892063,29.5,34,3280,Emb1_211021,TE,4.299077739146365,0.3299353696259927,1.5786885158067765,2.7336497338414323,1.5679779635107118,2.300598641124529
36,36.3236947510525,1.3162095264334155,10.485995753573206,15.962756434085243,3.8964708904068215,8.978711957713923,169.82786987056716,230.20833636887795,31.5,36,4838,Emb1_211021,TE,4.189336892532814,0.46822533541770117,2.8136401309885084,2.772475715041005,1.6753503525476177,2.70151384580313
37,25.54679800485714,0.7654370852404524,4.970418291552458,15.97962115519194,2.762378173702782,5.442293773676762,239.91757980670488,301.4167624681704,32.5,37,4163,Emb1_211021,TE,3.856327822843557,-0.06764482084886955,2.0818312257585143,2.7736018507373514,1.3413896568222867,2.2169492755460594
